rainfall_mm,slope_deg,elevation_m,soil_moisture,historical_events,infrastructure_density,landslide_risk
191.83,6.38,1875.15,30.09,11,10.25,0
9.53,10.15,1663.3,64.18,8,19.88,0
163.48,17.12,3446.33,82.85,0,75.88,1
64.59,46.99,1011.05,44.19,5,84.75,1
242.14,45.14,3181.14,97.58,6,7.88,0
108.49,15.58,847.78,69.51,12,28.94,1
69.84,10.56,1889.87,67.21,5,16.27,0
205.06,8.93,3674.89,58.07,3,16.34,1
296.86,40.2,3284.75,71.62,12,77.6,1
80.32,16.6,5214.55,88.87,5,21.26,1
265.4,40.36,1214.36,22.57,11,56.14,0
119.82,17.06,5487.69,55.86,1,75.58,0
45.85,13.8,3902.41,63.68,6,38.16,0
258.23,5.63,4103.61,71.35,8,75.09,0
102.05,21.14,1290.79,10.29,11,87.59,1
273.79,52.88,1992.22,67.51,9,19.89,1
48.46,57.44,5112.17,92.66,9,32.42,0
249.5,21.91,789.63,89.02,1,8.57,1
20.76,46.83,4329.17,21.56,7,94.68,0
289.31,56.09,4276.33,72.09,11,31.17,0
194.96,29.1,3087.88,20.89,3,6.4,1
2.16,43.93,794.37,16.07,0,85.96,1
71.4,41.79,1571.18,21.91,9,57.62,1
28.3,41.24,2271.49,47.0,11,5.42,0
193.85,8.33,4141.07,82.05,1,24.87,1
83.56,18.74,5116.33,49.88,8,9.79,0
162.18,5.81,966.31,77.82,3,16.63,1
17.59,25.84,5426.54,33.87,12,78.51,1
208.98,45.18,4416.81,69.57,7,15.48,1
162.66,46.14,785.83,62.58,8,91.94,1
17.06,32.93,4756.71,16.17,1,67.52,0
73.86,37.7,3596.91,47.73,9,56.52,1
78.23,41.83,2070.92,33.91,2,67.17,0
21.76,30.21,5492.27,99.65,1,53.76,1
39.74,24.2,843.96,31.99,4,15.77,0
296.17,40.97,539.12,83.54,4,93.18,1
263.44,19.55,4948.56,76.82,2,27.23,1
190.27,19.52,2942.66,91.48,0,9.23,1
83.0,5.2,4355.6,67.34,4,16.16,0
33.56,56.98,3955.1,23.41,0,83.46,0
44.43,12.01,2041.29,90.91,12,97.22,0
200.08,24.45,3299.42,88.72,9,74.95,0
71.02,13.94,4499.44,25.93,6,2.48,0
240.67,52.52,4553.75,34.01,12,70.13,1
11.62,30.89,1497.86,92.66,5,30.52,1
57.94,23.05,4821.76,97.02,4,35.11,0
203.86,51.4,2155.75,12.48,4,17.86,1
130.37,45.07,2068.39,64.56,8,11.56,0
57.02,7.44,2680.29,56.79,12,53.85,0
109.27,8.85,3821.19,39.72,5,66.34,1
270.01,32.89,3834.46,39.36,11,29.57,0
203.2,54.65,3577.57,37.09,8,83.37,1
63.05,48.22,3533.31,39.0,7,44.22,0
238.81,14.33,923.98,56.39,10,61.93,1
285.6,17.92,2052.1,82.59,2,2.44,0
21.85,27.79,3648.83,27.5,11,38.4,1
44.27,42.82,4963.3,87.44,1,77.84,0
139.36,35.66,5087.35,20.92,2,80.14,0
296.37,37.75,5250.2,90.23,9,81.5,0
133.77,13.75,4807.47,50.51,12,24.72,0
229.74,33.67,3633.74,34.71,1,71.35,0
24.17,13.3,2415.18,23.75,3,6.42,1
162.78,27.87,1534.17,47.81,12,58.41,0
114.11,5.32,2258.79,77.81,6,53.82,0
239.96,54.38,2941.15,34.56,7,2.9,1
49.51,30.71,1138.14,66.0,0,90.69,0
198.9,9.62,2643.06,88.02,2,5.03,1
228.37,25.85,4260.05,84.87,4,83.49,1
224.71,7.86,5259.6,30.18,1,78.12,0
59.81,6.12,1261.91,21.36,10,11.44,0
139.51,19.09,2344.48,64.53,11,71.84,1
173.61,56.09,3378.98,91.72,6,39.67,0
22.8,42.98,3636.21,19.17,12,30.16,0
169.78,7.26,3163.73,69.54,1,50.6,1
254.87,50.23,1027.69,96.47,10,89.16,1
156.52,40.78,3579.56,92.77,12,48.35,1
219.31,19.76,4758.57,84.77,1,27.89,0
200.46,23.5,2971.53,39.25,7,21.21,0
102.1,53.42,4005.92,34.86,0,51.66,1
166.55,18.22,2880.47,74.07,7,79.29,1
66.48,43.05,2031.03,62.34,7,55.35,0
105.54,29.96,2033.11,30.75,11,19.26,1
160.76,46.92,1425.75,29.47,7,27.65,0
294.15,50.79,1981.23,42.48,4,1.41,1
82.29,58.59,3266.79,72.77,2,63.79,1
85.3,31.33,2203.53,96.89,4,94.11,1
246.63,27.04,870.41,66.65,0,15.17,1
74.46,35.69,2580.87,63.65,9,22.57,0
135.15,29.35,4800.83,99.1,4,56.86,1
228.82,39.4,1823.23,17.31,3,17.38,1
0.8,29.78,3469.06,36.21,3,28.81,1
70.03,19.55,4456.24,63.08,12,93.37,1
163.37,40.62,5042.06,84.4,1,5.96,0
276.36,29.15,2843.49,37.37,6,94.27,1
148.14,9.42,699.3,48.88,5,60.37,0
258.16,37.29,603.73,78.83,4,57.62,0
52.56,33.54,2711.15,35.03,9,43.59,1
122.5,22.66,1023.0,24.47,6,69.37,1
283.56,49.75,3250.48,50.93,5,25.24,0
247.48,5.06,4846.84,51.58,0,18.76,1
226.93,39.4,4299.95,28.32,8,13.1,1
8.66,39.65,4496.57,73.88,4,55.08,1
27.96,59.57,5064.65,51.53,1,64.77,1
211.62,27.85,2912.5,52.5,7,55.13,1
276.56,32.95,4896.63,87.76,4,77.27,0
80.15,5.14,4130.25,85.37,9,99.89,1
44.58,34.62,2225.62,59.67,8,37.72,0
71.64,26.06,4780.06,46.97,5,74.47,0
243.42,26.23,3818.44,83.87,2,49.53,1
260.91,53.08,2701.53,57.34,7,1.53,1
261.28,58.35,874.14,80.34,4,33.86,0
255.7,52.26,2400.05,38.5,11,88.74,1
162.3,38.96,1673.85,71.6,4,99.74,1
190.12,52.99,2718.39,72.46,0,4.6,0
88.01,25.62,1227.85,57.8,9,68.18,0
114.76,42.57,2988.34,62.48,3,46.11,1
76.6,5.52,4523.17,91.11,10,54.66,0
89.75,57.91,3951.57,51.12,4,19.92,1
144.96,18.05,3359.61,61.73,11,29.52,1
169.78,42.72,4223.34,14.41,9,74.52,0
270.88,47.67,1650.59,82.17,3,63.66,0
197.75,51.11,3641.24,91.31,10,3.94,0
10.01,25.07,1157.06,91.87,5,74.75,1
291.45,34.2,5067.43,84.74,4,91.4,0
290.22,21.23,4851.98,82.38,7,96.29,0
217.27,58.9,5336.35,82.41,5,9.03,1
79.34,11.8,2342.93,77.41,4,58.46,1
70.15,6.38,4921.17,60.53,9,22.14,1
247.16,55.02,2010.95,46.75,2,4.53,1
70.44,34.57,2443.23,43.39,11,69.65,1
176.2,44.96,4927.07,68.94,7,61.57,1
65.18,29.46,1680.56,42.64,10,36.73,0
193.45,8.33,1879.41,97.14,7,9.17,0
15.17,23.34,5444.1,80.83,3,6.86,0
62.15,16.88,4848.48,39.57,2,78.86,0
296.26,34.71,4492.57,19.89,0,13.18,1
236.53,37.39,578.91,33.88,2,74.17,1
233.41,33.23,1045.27,55.35,9,4.34,0
260.09,33.68,2790.21,96.76,0,99.86,1
213.72,29.4,4996.33,38.99,2,6.57,1
189.92,35.16,2125.93,99.52,8,29.49,0
34.32,41.01,4888.53,59.62,3,43.01,0
124.14,50.51,2493.65,75.67,5,42.68,1
276.9,8.69,4658.86,18.39,1,74.46,1
39.03,8.3,5283.12,60.55,10,12.22,0
260.43,44.66,5341.99,64.04,5,10.36,1
46.42,31.52,4736.37,41.51,8,36.76,0
253.55,58.6,4592.13,65.22,10,55.67,1
197.35,43.14,644.77,34.59,12,30.9,0
169.9,27.04,1209.37,66.99,0,9.18,0
112.86,29.95,1287.05,38.05,5,77.68,1
47.22,38.98,3869.84,34.49,10,42.4,0
124.26,16.86,3061.73,41.07,1,28.32,0
13.63,26.74,3496.62,10.69,4,94.53,0
229.25,20.92,1099.92,54.76,6,17.57,1
250.01,49.34,860.38,87.56,0,43.62,1
23.36,22.22,2646.42,46.4,10,41.77,1
240.4,39.0,4660.13,92.78,1,43.67,1
130.7,27.02,893.24,88.35,11,33.95,1
34.21,33.05,5029.61,41.44,11,95.82,0
44.31,10.65,1779.84,25.61,2,76.02,0
148.24,46.49,4299.39,50.4,9,64.3,0
96.96,58.4,2080.69,49.58,7,44.22,1
152.2,22.07,2759.57,15.12,4,7.67,0
256.59,38.83,3035.34,51.64,8,95.42,0
171.5,15.35,3525.03,55.12,0,45.05,0
251.21,59.03,921.65,68.15,0,24.77,1
47.62,25.51,1914.47,46.79,5,67.89,1
189.27,23.41,2148.45,60.22,6,28.41,0
261.98,23.33,3413.7,22.73,5,31.02,0
198.64,12.09,4044.17,17.62,8,37.67,0
248.69,45.63,3927.07,57.38,10,67.05,1
5.47,21.99,5255.85,40.76,12,48.63,1
253.33,10.56,4354.37,85.16,8,3.77,1
229.89,12.21,2383.6,24.6,11,77.11,1
123.26,42.2,1687.65,49.98,4,75.24,0
70.2,18.15,5327.98,80.59,3,36.78,1
84.53,26.0,3137.3,96.96,3,80.13,1
75.0,40.26,4870.58,59.91,1,71.14,1
48.09,29.71,3066.76,84.79,1,94.64,1
135.34,24.23,633.35,14.79,8,37.4,1
95.61,10.45,4073.52,40.18,2,13.76,1
248.93,43.28,1193.96,73.5,7,61.53,1
44.86,56.71,3544.4,48.09,12,28.81,1
14.32,28.09,4469.5,51.14,1,83.67,0
172.51,44.52,1956.36,10.14,5,24.06,1
199.31,9.71,5373.27,16.09,8,54.41,1
262.0,7.39,2434.41,43.6,11,1.62,0
103.44,45.31,3641.28,79.44,11,75.67,1
192.84,50.67,3923.41,98.27,7,63.17,0
18.93,47.69,2788.4,36.41,0,79.11,1
119.47,49.85,2867.0,13.3,10,19.11,1
234.25,52.62,2159.62,21.2,5,43.7,0
101.71,15.27,3960.34,43.06,12,51.93,0
218.12,9.34,3512.27,84.01,8,29.38,1
133.77,44.47,1333.22,49.95,7,4.24,0
105.77,59.9,1872.78,98.2,0,7.5,0
203.82,57.4,1213.9,64.68,12,43.82,1
70.8,40.48,2310.75,95.45,0,60.51,1
228.93,36.57,3147.3,45.82,10,27.87,0
7.77,15.23,3088.73,92.22,1,26.18,0
85.67,55.41,2956.0,21.04,1,45.2,0
133.53,9.83,3909.65,86.1,5,66.78,1
89.99,13.66,4047.82,73.02,2,79.37,0
36.41,16.05,1194.38,81.13,0,36.09,0
38.93,53.63,828.74,45.83,11,71.89,1
230.75,50.28,868.75,97.51,10,7.42,1
248.72,35.32,3438.93,79.1,2,43.26,0
16.62,11.83,1265.08,24.82,5,93.47,0
85.21,9.34,1481.51,96.07,4,12.52,1
160.04,32.64,1343.18,94.74,2,17.12,1
277.18,7.27,4818.91,17.31,10,77.1,1
63.24,36.47,3590.54,12.73,10,54.56,1
242.2,27.34,2767.72,71.98,2,43.96,1
61.21,38.37,2062.91,74.65,11,98.8,0
154.49,10.84,1708.69,21.03,7,24.79,1
87.06,26.13,3576.89,32.34,2,81.35,1
47.8,59.78,2834.08,89.12,7,2.32,0
151.63,58.17,1575.72,41.76,0,28.14,0
85.72,5.45,1037.49,22.05,4,72.75,0
109.78,27.03,3351.41,27.52,8,28.86,0
247.59,39.28,3555.22,21.58,1,39.39,0
101.73,56.64,4274.83,27.92,8,40.14,0
241.19,33.56,1244.7,90.38,2,32.8,1
48.75,59.48,4196.6,36.93,5,50.73,0
142.47,5.92,2156.2,19.86,6,58.37,0
217.6,42.84,633.24,52.71,10,78.29,0
175.06,14.38,3645.13,65.78,6,14.78,0
9.47,57.15,1049.48,11.7,5,41.88,0
183.44,30.94,4741.88,75.47,11,13.81,1
97.51,41.42,3127.39,38.24,2,45.97,0
260.3,42.44,4518.26,33.79,7,19.23,1
167.43,17.37,5364.55,36.79,4,70.49,1
168.15,56.4,4108.32,35.9,9,67.66,1
294.05,50.01,5273.04,82.42,4,4.21,0
196.79,46.1,1569.93,84.52,4,93.3,0
41.18,38.86,3434.15,31.82,10,90.52,1
99.09,30.98,3905.96,22.37,8,97.79,1
195.87,53.44,2878.5,68.55,12,96.39,0
26.84,36.58,3175.76,75.08,0,91.32,1
264.67,14.67,5098.17,99.75,6,78.8,0
86.84,7.06,1991.96,64.25,5,28.46,0
162.99,32.17,5192.8,86.6,7,27.28,0
194.49,44.52,570.42,40.34,4,56.78,0
